frame_id,timestamp,prompt_variant,scene_description,objects_json,advice_text
0,0.07121443748474121,,,,"Alert: CAUTION
Instruction: Reduce speed immediately!"
0,0.07121443748474121,,,,"**URGENT HAZARD DETECTED**

**Most Urgent Hazard:** White car directly ahead, potential collision imminent.

**IMPERATIVE ACTION:** SLOW DOWN NOW TO AVOID COLLISION!"
0,0.07121443748474121,,,,"Caution
Check mirrors and blind spots."
0,0.07121443748474121,,,,"**URGENT HAZARD DETECTED**

Pedestrians approaching the motorcycle.

**IMPERATIVE ACTION**: SLOW DOWN IMMEDIATELY TO AVOID COLLISION."
30,0.07121443748474121,,,,"Caution
Check left lane before passing"
30,0.07121443748474121,,,,"WARNING: IMPENDING MERGE CARS IN FRONT AND LEFT.

IMMEDIATELY SLOW DOWN TO MINIMUM SAFE SPEED NOW."
30,0.07121443748474121,,,,"Caution Merge with Caution, Watch Left"
30,0.07121443748474121,,,,"Based on the image, I have identified the single most urgent hazard:

**Traffic Light**

 Imperative action: **SLAM ON BRAKES IMMEDIATELY!**"
60,0.07121443748474121,,,,Caution: Come to a complete stop immediately.
60,0.07121443748474121,,,,"**Hazard Identification:** Multiple pedestrians and obstacles in road.

**Imperative Action:** SLAM ON BRAKES NOW TO AVOID COLLISION!"
60,0.07121443748474121,,,,"**Danger: Merge Cautionly**
Check blind spots frequently."
60,0.07121443748474121,,,,"**URGENT HAZARD DETECTED**

**Most Critical Hazard:** Pedestrian on the Right Side

**IMMEDIATE ACTION REQUIRED:**

""SLAM ON BRAKES TO AVOID COLLISION!"""
90,0.07121443748474121,,,,CAUTION YIELD TO ONCOMING VEHICLES IMMEDIATELY
90,0.07121443748474121,,,,"**URGENT HAZARD DETECTED**

**IMPERATIVE ACTION**: REDUCE SPEED IMMEDIATELY TO 60KM/H TO AVOID COLLISION!"
90,0.07121443748474121,,,,Danger! Yield to oncoming traffic.
90,0.07121443748474121,,,,"**URGENT HAZARD DETECTED**

**Most Urgent Hazard:** Pedestrian (Object 1) in immediate danger of being struck.

**IMMEDIATE ACTION REQUIRED:** **SLAM ON BRAKES**"
120,248.66439270973206,,,,"Alert: Danger
Instruction: STOP IMMEDIATELY AND CHECK AHEAD"
120,248.66439270973206,,,,"**URGENT HAZARD DETECTED**

**IMMEDIATE ACTION REQUIRED:**
SLAM ON BRAKES AND SLOW DOWN IMMEDIATELY!"
120,248.66439270973206,,,,Danger: Yield to pedestrian.
120,248.66439270973206,,,,"**WARNING: Pedestrian Crosswalk**

""SLAM ON BRAKES, MAINTAIN DISTANCE NOW!"""
150,248.66439270973206,,,,Caution: Check mirrors and blind spots.
150,248.66439270973206,,,,"**URGENT HAZARD DETECTED**

Single most urgent hazard: Blue vehicle crossing lane boundaries towards intersection.

**IMMEDIATE ACTION:** SLAM ON BRAKES TO MAINTAIN CONTROL."
150,248.66439270973206,,,,"**Danger: Slow Down**
 Yield to Pedestrians and Van."
150,248.66439270973206,,,,"**WARNING: Pedestrians on the left side of the road**

SLAM ON BRAKES NOW TO AVOID IMPACT!"
180,248.66439270973206,,,,"Alert: Caution
Instruction: Slow down immediately"
180,248.66439270973206,,,,"**URGENT HAZARD DETECTED**

Object: Blue Car (Approaching from Right)

Imperative Action: **Maintain Safe Distance, Reduce Speed Now!**"
180,248.66439270973206,,,,Danger: Slowing Down Now
180,248.66439270973206,,,,"**URGENT HAZARD DETECTED**

The single most urgent hazard present in the scene is:

**Red Car: Type: Moving vehicle, Location: Middle of the road, approaching from the opposite direction, Direction: Towards the camera.**

**IMPERATIVE ACTION:** ""SLIGHTLY BRAKE, PREPARE TO STOP"""
210,248.66439270973206,,,,Caution Be Aware of Pedestrian Ahead
210,248.66439270973206,,,,"Based on the current scene, I identify the single most urgent hazard as:

**Pedestrian crossing**

Imperative action:
""BRING VEHICLE TO A SLOW AND SAFE STOP IMMEDIATELY."""
210,248.66439270973206,,,,Danger: Reduce Speed
210,248.66439270973206,,,,"**Urgent Hazard:** Oncoming Vehicles

**Imperative Action:** **SLAM ON BRAKES!**"
240,462.66312193870544,,,,CAUTION: Yield to oncoming vehicle immediately!
240,462.66312193870544,,,,"**URGENT HAZARD DETECTED**

 OBJECT: Approaching Car (Lane Change Hazard)

**IMPERATIVE ACTION**: STEER LEFT TO MAINTAIN CENTER LANE."
240,462.66312193870544,,,,Danger: Watch for pedestrians on the sidewalk.
240,462.66312193870544,,,,"Warning Level: CRITICAL

Urgent Hazard Detected:

**Vehicle in Front** is too close and not maintaining a safe distance from the motorcycle.

IMMEDIATE ACTION REQUIRED: SLOW DOWN TO 30 MPH OR LESS."
270,462.66312193870544,,,,"Caution
Check blind spots regularly."
270,462.66312193870544,,,,"**URGENT HAZARD DETECTED**

The single most urgent hazard is the vehicle ahead on the road.

IMPERATIVE ACTION: SLAM ON BRAKES IMMEDIATELY TO MAINTAIN DISTANCE!"
270,462.66312193870544,,,,Caution Slow Down and Watch Rear
