frame_id,timestamp,scene_description,objects_json,prompt_variant,advice_text
0,0.10510635375976562,"The imminent hazards include an oncoming white van directly ahead and another car approaching from the opposite direction on the left side. Additionally, there are crossing pedestrians and the presence of multiple vehicles at the intersection, suggesting a busy traffic area.",[],"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Alert: CAUTION
Instruction: Brake immediately, look left-right"
0,0.10510635375976562,"The imminent hazards include an oncoming white van directly ahead and another car approaching from the opposite direction on the left side. Additionally, there are crossing pedestrians and the presence of multiple vehicles at the intersection, suggesting a busy traffic area.",[],"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**Hazard Identification:** Oncoming white van directly ahead.

**Imperative Action:** SLAM ON BRAKES IMMEDIATELY, Reduce Speed to 20MPH."
0,0.10510635375976562,"Based on the image, here are three critical objects or hazards present in the scene:

- **Car**: 
  - Type: White SUV
  - Location: Approximately mid-frame, on the road
  - Direction: Moving towards the viewer (opposite direction)

- **Pedestrian**:
  - Type: Person crossing the street
  - Location: Left side of the image, near the crosswalk
  - Direction: Moving from left to right

- **Traffic Light**:
  - Type: Traffic light (partially visible)
  - Location: Right side of the image, near the building
  - Direction: Facing the viewer",[],"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Danger
Slow down now"
0,0.10510635375976562,"Based on the image, here are three critical objects or hazards present in the scene:

- **Car**: 
  - Type: White SUV
  - Location: Approximately mid-frame, on the road
  - Direction: Moving towards the viewer (opposite direction)

- **Pedestrian**:
  - Type: Person crossing the street
  - Location: Left side of the image, near the crosswalk
  - Direction: Moving from left to right

- **Traffic Light**:
  - Type: Traffic light (partially visible)
  - Location: Right side of the image, near the building
  - Direction: Facing the viewer",[],"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD: Pedestrian crossing into traffic**

**IMPERATIVE ACTION: SLAM ON BRAKES NOW TO STOP!**"
30,0.10510635375976562,"In the image, there are several vehicles visible ahead on the road, including cars and a truck, which could pose potential hazards if they brake suddenly or change lanes. Additionally, there is a traffic light on the right side of the image, indicating the need to be aware of upcoming traffic signals.","[{""class_id"": 2, ""class_name"": ""car"", ""confidence"": 0.3207983672618866, ""bbox"": [23.005630493164062, 114.3104476928711, 49.56642150878906, 122.65074920654297]}]","You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).",Caution: Maintain Distance from Large Vehicles
30,0.10510635375976562,"In the image, there are several vehicles visible ahead on the road, including cars and a truck, which could pose potential hazards if they brake suddenly or change lanes. Additionally, there is a traffic light on the right side of the image, indicating the need to be aware of upcoming traffic signals.","[{""class_id"": 2, ""class_name"": ""car"", ""confidence"": 0.3207983672618866, ""bbox"": [23.005630493164062, 114.3104476928711, 49.56642150878906, 122.65074920654297]}]","You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","Urgent Hazard: Sudden braking of multiple vehicles ahead.

Imperative Action: Maintain Safe Distance and Speed."
30,0.10510635375976562,"Based on the image provided, here are three critical objects or hazards present in the scene:

- **Vehicles on the road**:
  - Type: Cars
  - Location: On the street ahead
  - Direction: Moving in both directions

- **Other road users (e.g., pedestrians, bicyclists)**:
  - Type: Potential pedestrians and other road users (not clearly visible, but typically present in urban areas)
  - Location: Along the sides of the road or potentially crossing the street
  - Direction: Various, including moving across the road

- **Traffic light**:
  - Type: Traffic light
  - Location: On the right side of the road ahead
  - Direction: Facing the viewer, indicating the traffic flow direction","[{""class_id"": 2, ""class_name"": ""car"", ""confidence"": 0.3207983672618866, ""bbox"": [23.005630493164062, 114.3104476928711, 49.56642150878906, 122.65074920654297]}]","You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).",Caution Maintain a safe distance!
30,0.10510635375976562,"Based on the image provided, here are three critical objects or hazards present in the scene:

- **Vehicles on the road**:
  - Type: Cars
  - Location: On the street ahead
  - Direction: Moving in both directions

- **Other road users (e.g., pedestrians, bicyclists)**:
  - Type: Potential pedestrians and other road users (not clearly visible, but typically present in urban areas)
  - Location: Along the sides of the road or potentially crossing the street
  - Direction: Various, including moving across the road

- **Traffic light**:
  - Type: Traffic light
  - Location: On the right side of the road ahead
  - Direction: Facing the viewer, indicating the traffic flow direction","[{""class_id"": 2, ""class_name"": ""car"", ""confidence"": 0.3207983672618866, ""bbox"": [23.005630493164062, 114.3104476928711, 49.56642150878906, 122.65074920654297]}]","You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**Urgent Hazard:** Potential Pedestrian or Bicyclist

**Imperative Action:** Reduce Speed and Maintain Safe Following Distance"
60,0.10510635375976562,"There is a motorcycle directly ahead, and another vehicle is partially visible in the left part of the frame, both presenting potential collision risks. Additionally, there is a pedestrian on the right side of the road who may step onto the street unexpectedly.",[],"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Alert: Danger
Instruction: Brake Now Immediately!"
60,0.10510635375976562,"There is a motorcycle directly ahead, and another vehicle is partially visible in the left part of the frame, both presenting potential collision risks. Additionally, there is a pedestrian on the right side of the road who may step onto the street unexpectedly.",[],"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD DETECTED**

Identified hazards:
- Motorcycle directly ahead
- Partially visible vehicle in left part
- Potential pedestrian stepping into the street

**IMMEDIATE ACTION REQUIRED**
SLAM ON BRAKES TO Maintain Safe Distance IMMEDIATELY"
