frame_id,timestamp,prompt_variant,caption_text
0,0.10510635375976562,"Describe only the imminent hazards (vehicles, pedestrians, traffic signs) in no more than 2 sentences in English.","The imminent hazards include an oncoming white van directly ahead and another car approaching from the opposite direction on the left side. Additionally, there are crossing pedestrians and the presence of multiple vehicles at the intersection, suggesting a busy traffic area."
0,0.10510635375976562,"List up to three critical objects or hazards present in the scene: type, location, direction. Use bullet points in English.","Based on the image, here are three critical objects or hazards present in the scene:

- **Car**: 
  - Type: White SUV
  - Location: Approximately mid-frame, on the road
  - Direction: Moving towards the viewer (opposite direction)

- **Pedestrian**:
  - Type: Person crossing the street
  - Location: Left side of the image, near the crosswalk
  - Direction: Moving from left to right

- **Traffic Light**:
  - Type: Traffic light (partially visible)
  - Location: Right side of the image, near the building
  - Direction: Facing the viewer"
30,0.10510635375976562,"Describe only the imminent hazards (vehicles, pedestrians, traffic signs) in no more than 2 sentences in English.","In the image, there are several vehicles visible ahead on the road, including cars and a truck, which could pose potential hazards if they brake suddenly or change lanes. Additionally, there is a traffic light on the right side of the image, indicating the need to be aware of upcoming traffic signals."
30,0.10510635375976562,"List up to three critical objects or hazards present in the scene: type, location, direction. Use bullet points in English.","Based on the image provided, here are three critical objects or hazards present in the scene:

- **Vehicles on the road**:
  - Type: Cars
  - Location: On the street ahead
  - Direction: Moving in both directions

- **Other road users (e.g., pedestrians, bicyclists)**:
  - Type: Potential pedestrians and other road users (not clearly visible, but typically present in urban areas)
  - Location: Along the sides of the road or potentially crossing the street
  - Direction: Various, including moving across the road

- **Traffic light**:
  - Type: Traffic light
  - Location: On the right side of the road ahead
  - Direction: Facing the viewer, indicating the traffic flow direction"
60,0.10510635375976562,"Describe only the imminent hazards (vehicles, pedestrians, traffic signs) in no more than 2 sentences in English.","There is a motorcycle directly ahead, and another vehicle is partially visible in the left part of the frame, both presenting potential collision risks. Additionally, there is a pedestrian on the right side of the road who may step onto the street unexpectedly."
60,0.10510635375976562,"List up to three critical objects or hazards present in the scene: type, location, direction. Use bullet points in English.","Based on the image, here are three critical objects or hazards present in the scene:

- **Cyclist:**
  - **Location:** In the center-left of the image, near the car's windshield.
  - **Direction:** Moving from left to right.

- **Traffic Light:**
  - **Location:** On the right side of the image, above the road.
  - **Direction:** Stationary, facing the road.

- **Pedestrians:**
  - **Location:** On the right side of the image, near the traffic light.
  - **Direction:** Seemingly stationary or crossing the road."
90,0.10510635375976562,"Describe only the imminent hazards (vehicles, pedestrians, traffic signs) in no more than 2 sentences in English.","A motorcycle is directly in front of the viewer, and there are several vehicles visible on the road ahead. There is a traffic sign on the right side of the road, and multiple other vehicles can be seen in the distance."
90,0.10510635375976562,"List up to three critical objects or hazards present in the scene: type, location, direction. Use bullet points in English.","Based on the image provided, here are up to three critical objects or hazards present in the scene:

- **Pedestrians (Type):** 
  - **Location:** On the left side of the street near the buildings.
  - **Direction:** Possibly crossing the street or walking along the sidewalk.

- **Vehicles (Type):**
  - **Location:** In the middle of the street, visible in the distance.
  - **Direction:** Likely moving forward along the road.

- **Side Mirror (Type):** 
  - **Location:** On the left side of the image, attached to the vehicle the viewer is in.
  - **Direction:** Reflecting the scene behind the vehicle."
120,276.88068294525146,"Describe only the imminent hazards (vehicles, pedestrians, traffic signs) in no more than 2 sentences in English.","The image shows a pedestrian crossing the street immediately in front of the vehicle. Additionally, there are other vehicles on the road and a pedestrian on the right side, which require attention to avoid potential hazards."
120,276.88068294525146,"List up to three critical objects or hazards present in the scene: type, location, direction. Use bullet points in English.","Sure, here are three critical objects or hazards present in the scene:

- **Pedestrian Crossing:**
  - Type: Crosswalk
  - Location: Foreground, center of the image
  - Direction: Perpendicular to the direction of the vehicle

- **Traffic Light:**
  - Type: Traffic signal
  - Location: Left side of the image, near the top corner of the building
  - Direction: Facing towards the vehicle (facing the camera)

- **Building Shadow:**
  - Type: Shadow of the building
  - Location: Right side of the image, over the road
  - Direction: Cast diagonally across the scene, potentially affecting visibility"
150,276.88068294525146,"Describe only the imminent hazards (vehicles, pedestrians, traffic signs) in no more than 2 sentences in English.","The driver is closely following a blue car in front, and a white van is approaching from the opposite direction. Additionally, there are parked cars on both sides of the street which may obstruct visibility and maneuverability."
150,276.88068294525146,"List up to three critical objects or hazards present in the scene: type, location, direction. Use bullet points in English.","Here are three critical objects or hazards present in the scene:

- **Pedestrians on the roadside:** 
  - Location: Left side of the road, near the buildings.
  - Direction: Moving or standing parallel to the road.

- **White van:**
  - Location: Ahead in the center of the road.
  - Direction: Moving away from the viewer in the same direction as the motorbike.

- **Blue bus:**
  - Location: Ahead on the right side of the road.
  - Direction: Stationary or moving slowly in the same direction as the motorbike."
180,276.88068294525146,"Describe only the imminent hazards (vehicles, pedestrians, traffic signs) in no more than 2 sentences in English.","The rider is approaching a narrow road with parked cars on both sides, creating potential obstacles. Immediate hazards include a blue car on the right and a red car ahead on the left, as well as possible pedestrians who could emerge from between the parked vehicles."
180,276.88068294525146,"List up to three critical objects or hazards present in the scene: type, location, direction. Use bullet points in English.","Based on the image:

- **Stationary Vehicles on Road:**
  - Location: Middle of the road in the distance.
  - Direction: Facing towards the camera, indicating they are either parked or waiting in traffic.

- **Cyclist or Biker:**
  - Location: Foreground of the image, driving on the road.
  - Direction: Moving forward along the road, towards the stationary vehicles.

- **Approaching Vehicles (from opposite direction):**
  - Location: Left side of the road.
  - Direction: Coming towards the camera from the opposite direction."
210,276.88068294525146,"Describe only the imminent hazards (vehicles, pedestrians, traffic signs) in no more than 2 sentences in English.","There are multiple vehicles parked along the right side of the road, which may require attention while overtaking or passing. No immediate pedestrians or traffic signs are visible, but caution should be exercised due to the oncoming traffic on the left side."
210,276.88068294525146,"List up to three critical objects or hazards present in the scene: type, location, direction. Use bullet points in English.","Here are three critical objects or hazards present in the scene:

- **Cars parked on the left side of the road**:
  - Type: Parked vehicles.
  - Location: Left side of the street.
  - Direction: Stationary, parallel to the road.

- **Oncoming vehicle near the right side**:
  - Type: Oncoming vehicle.
  - Location: Right side of the road.
  - Direction: Towards the camera.

- **Cyclist riding in the foreground**:
  - Type: Vulnerable road user (cyclist).
  - Location: Center-foreground of the image.
  - Direction: Moving forward (same direction as the camera)."
240,513.9646265506744,"Describe only the imminent hazards (vehicles, pedestrians, traffic signs) in no more than 2 sentences in English.","In the image, there is a truck on the right side of the road ahead, and a few vehicles are visible further down the road. There are also some pedestrians on the left sidewalk closer to the foreground."
